_step,response_length/mean,val/test_score/kk_logic
10,617.40625,0.038
20,528.96875,0.03
30,789.296875,0.062
40,476.265625,0.044
50,89.0,0.034
60,64.875,0.04
70,62.234375,0.056
80,50.84375,0.056
90,56.6875,0.07
100,48.234375,0.062
110,53.125,0.064
120,58.6875,0.068
130,53.375,0.066
140,49.671875,0.062
150,62.171875,0.06
160,47.25,0.06
170,61.828125,0.062
180,51.8125,0.078
190,48.828125,0.076
200,45.734375,0.088
210,51.1875,0.08
220,53.703125,0.084
230,60.171875,0.072
240,51.59375,0.074
250,54.734375,0.076
260,49.421875,0.09
270,54.296875,0.092
280,60.796875,0.108
290,45.671875,0.11
300,56.609375,0.112
310,59.5,0.108
320,53.03125,0.08
330,48.125,0.088
340,49.171875,0.102
350,51.234375,0.098
360,52.375,0.096
370,46.703125,0.116
380,48.96875,0.106
390,62.84375,0.116
400,56.625,0.116
410,57.78125,0.126
420,49.859375,0.126
430,55.5,0.13
440,52.140625,0.134
450,119.796875,0.138
460,50.65625,0.146
470,57.484375,0.132
480,55.671875,0.152
490,58.125,0.154
500,54.765625,0.146
510,49.609375,0.144
520,57.953125,0.152
530,58.734375,0.152
540,60.15625,0.158
550,52.453125,0.17
560,54.96875,0.158
570,49.3125,0.162
580,57.0625,0.164
590,55.6875,0.164
600,56.734375,0.162
610,59.484375,0.168
620,61.0,0.162
630,52.890625,0.162
640,50.9375,0.164
650,56.046875,0.162
660,59.3125,0.17
670,53.859375,0.172
680,56.453125,0.174
690,48.390625,0.166
700,57.109375,0.172
710,46.515625,0.17
720,63.125,0.174
730,51.28125,0.17
740,53.359375,0.168
750,53.34375,0.18
760,54.828125,0.17
770,56.09375,0.17
780,53.578125,0.168
790,53.796875,0.168
800,51.125,0.17
810,51.609375,0.172
820,50.75,0.164
830,58.734375,0.174
840,59.421875,0.176
850,52.34375,0.162
860,55.828125,0.16
870,52.234375,0.154
880,49.28125,0.158
890,48.625,0.16
900,54.0,0.158
910,45.40625,0.152
920,57.625,0.15
930,50.953125,0.156
940,57.21875,0.164
950,63.546875,0.16
960,58.15625,0.158
970,56.6875,0.15
980,53.734375,0.156
990,55.265625,0.156
1000,48.578125,0.162
1010,57.859375,0.17
1020,55.546875,0.17
1030,52.875,0.166
1040,52.25,0.158
1050,45.53125,0.162
1060,55.53125,0.172
1070,55.984375,0.17
1080,55.03125,0.182
1090,53.546875,0.17
1100,59.859375,0.176
1110,52.25,0.19
1120,51.484375,0.188
1130,56.15625,0.186
1140,56.984375,0.184
1150,54.359375,0.188
1160,47.515625,0.186
1170,60.125,0.178
1180,61.359375,0.182
1190,51.875,0.182
1200,48.75,0.192
1210,51.015625,0.19
1220,61.03125,0.19
1230,54.40625,0.19
1240,58.375,0.186
