_step,response_length/mean,val/test_score/reason_io
10,383.875,0.096
20,182.6875,0.11
30,220.484375,0.12
40,231.421875,0.114
50,266.484375,0.116
60,151.125,0.114
70,199.03125,0.118
80,135.484375,0.126
90,170.046875,0.128
100,194.125,0.126
110,585.4375,0.128
120,247.578125,0.13
130,256.953125,0.116
140,236.25,0.12
150,250.171875,0.122
160,602.90625,0.106
170,202.515625,0.106
180,192.03125,0.116
190,232.859375,0.116
200,231.375,0.126
210,208.421875,0.124
220,507.109375,0.116
230,266.1875,0.122
240,168.46875,0.126
250,325.6875,0.12
260,262.234375,0.116
270,232.484375,0.12
280,149.875,0.13
290,169.46875,0.13
300,157.9375,0.124
310,146.234375,0.112
320,157.734375,0.122
330,176.421875,0.13
340,176.71875,0.128
350,221.015625,0.124
360,191.640625,0.132
370,174.71875,0.124
380,185.546875,0.122
390,171.515625,0.122
400,175.9375,0.132
410,207.625,0.12
420,166.96875,0.124
430,165.96875,0.124
440,149.359375,0.132
450,167.265625,0.126
460,241.0,0.132
470,186.234375,0.124
480,224.625,0.126
490,212.890625,0.134
500,127.40625,0.126
510,192.171875,0.138
520,173.078125,0.138
530,151.078125,0.144
540,151.390625,0.17
550,396.96875,0.15
560,325.328125,0.154
570,182.3125,0.16
580,169.28125,0.148
590,212.984375,0.142
600,327.0,0.146
610,190.6875,0.146
620,571.1875,0.152
630,225.28125,0.152
640,241.296875,0.156
650,166.5625,0.146
660,130.765625,0.144
670,148.96875,0.148
680,520.953125,0.148
690,411.25,0.146
700,161.046875,0.144
710,198.28125,0.118
720,266.921875,0.094
730,396.71875,0.108
740,250.8125,0.14
750,226.765625,0.146
760,128.109375,0.156
770,116.28125,0.148
780,117.0,0.154
790,98.71875,0.15
800,185.4375,0.156
810,159.484375,0.152
820,105.734375,0.146
830,122.390625,0.152
840,110.3125,0.148
850,82.375,0.154
860,92.203125,0.154
870,157.484375,0.146
880,107.203125,0.14
890,105.828125,0.156
900,134.46875,0.164
910,101.765625,0.148
920,93.625,0.144
930,128.890625,0.154
940,104.328125,0.152
950,73.765625,0.15
960,137.59375,0.154
970,134.109375,0.15
980,121.875,0.148
990,106.0625,0.146
1000,173.5625,0.144
1010,77.796875,0.138
1020,55.890625,0.142
1030,83.578125,0.144
1040,218.21875,0.142
1050,128.8125,0.158
1060,84.3125,0.148
1070,163.859375,0.156
1080,92.21875,0.154
1090,67.15625,0.154
1100,62.453125,0.15
1110,66.09375,0.156
1120,62.046875,0.158
1130,107.28125,0.15
1140,64.59375,0.158
1150,55.546875,0.15
1160,80.15625,0.152
1170,51.578125,0.15
1180,66.90625,0.154
1190,76.015625,0.15
1200,56.03125,0.15
1210,66.75,0.15
1220,90.328125,0.142
1230,88.96875,0.15
1240,55.796875,0.16
