_step,response_length/mean,val/test_score/reason_io
10,406.4375,0.12
20,175.640625,0.124
30,156.296875,0.12
40,150.203125,0.118
50,143.46875,0.112
60,152.921875,0.12
70,228.546875,0.122
80,149.140625,0.122
90,402.234375,0.13
100,138.921875,0.132
110,145.546875,0.118
120,241.53125,0.12
130,140.53125,0.112
140,276.21875,0.118
150,162.21875,0.122
160,140.6875,0.128
170,663.484375,0.122
180,226.796875,0.112
190,117.359375,0.118
200,224.171875,0.122
210,132.40625,0.112
220,189.78125,0.13
230,161.484375,0.134
240,137.265625,0.134
250,168.546875,0.128
260,117.15625,0.126
270,149.328125,0.126
280,304.703125,0.124
290,230.796875,0.132
300,119.40625,0.124
310,146.28125,0.122
320,124.0625,0.136
330,117.234375,0.132
340,127.1875,0.15
350,132.46875,0.128
360,652.859375,0.124
370,175.953125,0.122
380,134.453125,0.128
390,223.84375,0.136
400,99.265625,0.124
410,395.234375,0.118
420,211.875,0.124
430,463.765625,0.12
440,309.171875,0.134
450,191.0,0.142
460,107.65625,0.13
470,114.734375,0.136
480,95.890625,0.136
490,118.71875,0.136
500,114.03125,0.142
510,125.296875,0.142
520,117.828125,0.16
530,78.546875,0.148
540,112.1875,0.158
550,86.046875,0.144
560,114.4375,0.136
570,72.46875,0.142
580,96.953125,0.14
590,57.515625,0.152
600,298.65625,0.146
610,137.53125,0.15
620,100.78125,0.15
630,110.0625,0.144
640,129.5625,0.136
650,130.28125,0.154
660,109.171875,0.154
670,123.625,0.146
680,122.25,0.152
690,133.328125,0.156
700,117.96875,0.152
710,132.0,0.154
720,116.28125,0.15
730,285.59375,0.146
740,121.609375,0.158
750,126.734375,0.166
760,307.15625,0.156
770,127.359375,0.16
780,124.125,0.158
790,127.375,0.15
800,96.578125,0.154
810,121.0625,0.156
820,118.171875,0.16
830,121.59375,0.142
840,110.484375,0.142
850,150.671875,0.148
860,90.640625,0.146
870,95.640625,0.126
880,66.46875,0.102
890,220.421875,0.134
900,71.75,0.148
910,123.578125,0.154
920,75.421875,0.154
930,66.015625,0.15
940,60.28125,0.146
950,77.21875,0.15
960,162.015625,0.15
970,53.109375,0.15
980,111.421875,0.148
990,65.890625,0.164
1000,58.828125,0.168
1010,63.859375,0.164
1020,59.015625,0.148
1030,80.65625,0.156
1040,69.625,0.154
1050,214.46875,0.148
1060,56.296875,0.158
1070,54.515625,0.16
1080,46.71875,0.152
1090,51.859375,0.164
1100,54.59375,0.172
1110,68.375,0.166
1120,54.203125,0.158
1130,50.0,0.164
1140,50.625,0.158
1150,51.78125,0.154
1160,71.796875,0.158
1170,59.25,0.16
1180,52.0625,0.156
1190,105.921875,0.162
1200,42.25,0.15
1210,34.96875,0.15
1220,46.546875,0.15
1230,230.609375,0.15
1240,68.359375,0.152
